"id","arbeitgeber","titel","url","ort_plz","bewerbungsfrist"
35," Stadt Monheim am Rhein","Abteilungsleitung Kanal und Deich","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790881.html#track=feed-jobs","     40789 Monheim am Rhein",NULL
36," Hochschule Hannover","Aufbau und Koordination eines innovativen Mentoring-Programms (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790863.html#track=feed-jobs","     30459 Hannover",NULL
37," Bezirksamt Tempelhof-Sch&#246;neberg von Berlin","Sachbearbeitung Bildungskoordination (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/781106.html#track=feed-jobs","     10825 Berlin",NULL
38," AKDB","Leitung (m/w/d) Team Support / Hotline / Kundenservice","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/649167.html#track=feed-jobs","     80686 M&#252;nchen",NULL
39," Gemeinde Schwalmtal","Sachbearbeitung Bürgerservice","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790878.html#track=feed-jobs","     41366 Schwalmtal",NULL
40," AKDB","Leitung (m/w/d) Team Digital Factory","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/752837.html#track=feed-jobs","     80686 M&#252;nchen",NULL
41," Stadt Br&#252;hl","Finanzcontrolling","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790880.html#track=feed-jobs","     50321 Br&#252;hl",NULL
42," Evangelische Hochschule Berlin","Gastdozentur Recht und Gesellschaft","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790876.html#track=feed-jobs","     14167 Berlin",NULL
43," Bundesagentur f&#252;r Arbeit","Sachbearbeiter/-in (w/m/d) Leistungsgewährung im Bereich Unterhaltsheranziehung (SGB II)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790873.html#track=feed-jobs","     71332 Waiblingen",NULL
44," AKDB","Betriebswirt (m/w/d) als Requirements Engineer/Anforderungsmanager (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790866.html#track=feed-jobs","     80686 M&#252;nchen",NULL
45," Ostwestfalen Lippe IT Standort Paderborn","Incident Management und Service Desk Koordination (w/m/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790846.html#track=feed-jobs","     33100 Paderborn",NULL
46," Staatsbetrieb S&#228;chsisches Immobilien- und Baumanagement","Mitarbeiter Immobilienmanagement (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790869.html#track=feed-jobs","     04275 Leipzig",NULL
47," Dt. Zentrum f. lntegr.- u. Migrat.forsch. (DeZIM) e.V.","Wissenschaftliche Projektleitung (m/w/d/k. A.)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790864.html#track=feed-jobs","     10117 Berlin",NULL
48," Bundesagentur f&#252;r Arbeit","Fachkraft für Vergabe im Regionalen Einkaufszentrum (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790856.html#track=feed-jobs","     60311 Frankfurt am Main",NULL
49," Amt Odervorland","Mitarbeiter Anlagenbuchhaltung/ Jahresabschlusserstellung (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790865.html#track=feed-jobs","     15518 Briesen (Mark)",NULL
50," Amt Odervorland","Sachbearbeiter Gebäudemanagement/ Wohnungsverwaltung (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790861.html#track=feed-jobs","     15518 Briesen (Mark)",NULL
51," Stadt Br&#252;hl","Abteilungsleitung","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790860.html#track=feed-jobs","     50321 Br&#252;hl",NULL
52," AKDB","Produktplaner / Requirements Engineer (m/w/d) - Sozialwesen","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/716628.html#track=feed-jobs","     80686 M&#252;nchen",NULL
53," Leibniz Universit&#228;t Hannover","Systemadministratorin oder Systemadministrator (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790859.html#track=feed-jobs","     30159 Hannover",NULL
54," Gemeinde Juist","Masseur und med. Bademeister (m/w/d) oder Physiotherapeut (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790858.html#track=feed-jobs","     26571 Juist",NULL
55," Ministerium f&#252;r Soziales, Gesundheit und Integration Baden-W&#252;rttemberg","Ärztinnen und Ärzte (w/m/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790855.html#track=feed-jobs","     76131 Karlsruhe",NULL
56," Stadt Seelze","Erzieherinnen/Erzieher bzw. Sozialpädagogische Assistentinnen/Assistenten","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790854.html#track=feed-jobs","     30926 Seelze",NULL
57," Stadt Iserlohn","Bauleiter, Bauleiterin (m/w/d) Kanal-, Gewässer- und Straßenbau","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790844.html#track=feed-jobs","     58636 Iserlohn",NULL
58," Gemeinde Juist","Fachkraft für die Badeaufsicht (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790849.html#track=feed-jobs","     26571 Juist",NULL
59," Ministerium f&#252;r Soziales, Gesundheit und Integration Baden-W&#252;rttemberg","Ärztinnen und Ärzte (w/m/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790848.html#track=feed-jobs","     72250 Freudenstadt",NULL
60," Stadtverwaltung Cottbus","Sachbearbeiter bauordnungsrechtliche Prüfung (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790847.html#track=feed-jobs","     03046 Cottbus",NULL
61," AKDB","IT-Anwendungsberater für das Fachverfahren Einwohnermeldewesen (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790850.html#track=feed-jobs","     80686 M&#252;nchen",NULL
62," Universit&#228;t Bielefeld","Dokumentations- oder Studienassistent*in/Study Nurse (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/uni-bielefeld/2022/04/1369.html#track=feed-jobs","     33501 Bielefeld",NULL
63," Gemeinde Machern","Standesbeamte/Standesbeamter (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790845.html#track=feed-jobs","     04827 Machern",NULL
64," AKDB","IT-Anwendungsberater - Einwohnerwesen (m/w/d)","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790840.html#track=feed-jobs","     80686 M&#252;nchen",NULL
65," Hochschule Aalen","Regional- und Fachvernetzer:in (w/m/d) für die Wissenschaftliche Weiterbildung - 100%","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790833.html#track=feed-jobs","     73430 Aalen",NULL
66," Ministerium f&#252;r Energiewende, Landwirtschaft, Umwelt, Natur und Digitalisierung des Landes Schleswig-Holstein","Mitarbeiter/in (m/w/d) für Informationstechnik und Informationsmanagement","https://www.service.bund.de/IMPORTE/Stellenangebote/interamt/2022/04/790838.html#track=feed-jobs","     24106 Kiel",NULL
